sentence,aspect,sentiment
wagner moura did an excellent job portraying this character there couldnt have been better casting the voice actor himself fit the role exceedingly well,voice actor,1
pus in boot follows the title character from the shrek movie,character,0
i watched it in spanish so it didnt have the all of the same voice actor besides banderas and probably salma hayek but everyone did an excellent job especially from the main two i just mentioned,voice actor,1
overall wonderful animation complex character great humor and compelling theme packed into one amazing movie,animation,1
overall wonderful animation complex character great humor and compelling theme packed into one amazing movie,character,1
overall wonderful animation complex character great humor and compelling theme packed into one amazing movie,humor,1
overall wonderful animation complex character great humor and compelling theme packed into one amazing movie,theme,1
still this film is another great example of the sequel being better than the original,sequel,1
the animation style kinda put me in the mind of spider verse and dreamworks bad guy,style,0
ive always liked dreamworks film with my favorite being how to train your dragon 2 but after rewatching the first pus in boot movie i wasnt expecting much for this sequel eleven year after,sequel,0
for starter the animation is really creative,animation,1
pus in boot the last wish wa filled with the same lovable character reprising their role from the previous film,character,1
pus in boot used to be the favorite fearless hero and ha to go through life journey learning the reality of life,hero,1
also i dont get why they changed old animation it wa more realistic and smooth to watch,animation,0
this movie is not bad but it ha too much dialogue and comedy in it,dialogue,0
this movie is not bad but it ha too much dialogue and comedy in it,comedy,0
they also switched up frame rate incorporated anime style freeze frame had fascinating fight scene and interesting character design,frame rate,1
they also switched up frame rate incorporated anime style freeze frame had fascinating fight scene and interesting character design,style,1
they also switched up frame rate incorporated anime style freeze frame had fascinating fight scene and interesting character design,fight scene,1
they also switched up frame rate incorporated anime style freeze frame had fascinating fight scene and interesting character design,character,1
every single line scene and montage feel like a super sped up summary of the actual movie,scene,0
in many way it simply seems to be continuing along the theme of the original shrek film but is also introducing new actor since the many of the original one are getting pretty old,actor,1
in many way it simply seems to be continuing along the theme of the original shrek film but is also introducing new actor since the many of the original one are getting pretty old,theme,1
finally the message wa real,message,1
the action sequence are also overly long and boring since it impossible to figure out whats happening,action sequence,0
this movie becomes a macguffin film when goldilocks and the three bear florence pugh ray winstone olivia colman and samson kayo chase after our hero for the map,hero,0
anything too melodramatic would probably come off a insincere when coming from the lovable goofball that is pus in boot and any convoluted story with twist and turn would simply take away from the marvelous visual spectacle,story,0
anything too melodramatic would probably come off a insincere when coming from the lovable goofball that is pus in boot and any convoluted story with twist and turn would simply take away from the marvelous visual spectacle,visual,1
and the stellar voice performance and dazzling visuals keep thing so engaging you wont need a laser pointer or a catnipstuffed mouse toy to entertain you,visuals,1
there is no substitution for great writing,writing,1
jack is the pinnacle of a villan who know he evil and rock it he is heavily foucused on comedy even more than goldi and the bear but dont let that fool you he is evil he hoard all the magic item he can get his fat hand on and us them to kill anything that opposes him,villan,1
jack is the pinnacle of a villan who know he evil and rock it he is heavily foucused on comedy even more than goldi and the bear but dont let that fool you he is evil he hoard all the magic item he can get his fat hand on and us them to kill anything that opposes him,comedy,1
i wa then captivated by the depth of the animation switching seamlessly between comic book almost spider verse styling and typical dreamworks animation it really is the best animation i have seen from a mainstream production company,animation,1
i wa then captivated by the depth of the animation switching seamlessly between comic book almost spider verse styling and typical dreamworks animation it really is the best animation i have seen from a mainstream production company,animation,1
you can clearly tell how much the people who worked on this film genuinely loved their craft a it so full of passion in every aspect from the fluid animation and movement choreography to the incredible vocal performance from everyone especially antonio bandares who perfectly encapsulated the charismatic cockiness we love to see in pus character but also perfectly highlight his fear in scene with death who also did an amazing performancei enjoyed how the film wa not afraid to slightly step away from what is now typically seen a acceptable for a pg audience like the inclusion of swears compelling character dynamic and more mature theme like anxiety and coming to term with your mortality facing and overcoming the fear of death,animation,1
you can clearly tell how much the people who worked on this film genuinely loved their craft a it so full of passion in every aspect from the fluid animation and movement choreography to the incredible vocal performance from everyone especially antonio bandares who perfectly encapsulated the charismatic cockiness we love to see in pus character but also perfectly highlight his fear in scene with death who also did an amazing performancei enjoyed how the film wa not afraid to slightly step away from what is now typically seen a acceptable for a pg audience like the inclusion of swears compelling character dynamic and more mature theme like anxiety and coming to term with your mortality facing and overcoming the fear of death,character,1
you can clearly tell how much the people who worked on this film genuinely loved their craft a it so full of passion in every aspect from the fluid animation and movement choreography to the incredible vocal performance from everyone especially antonio bandares who perfectly encapsulated the charismatic cockiness we love to see in pus character but also perfectly highlight his fear in scene with death who also did an amazing performancei enjoyed how the film wa not afraid to slightly step away from what is now typically seen a acceptable for a pg audience like the inclusion of swears compelling character dynamic and more mature theme like anxiety and coming to term with your mortality facing and overcoming the fear of death,theme,1
the scene that stood out to me the most wa actually right in the middle of the movie,scene,1
so many fantastic fairytale reference all the character are great and the ending teach u a valuable lesson,character,1
so many fantastic fairytale reference all the character are great and the ending teach u a valuable lesson,ending,1
so many fantastic fairytale reference all the character are great and the ending teach u a valuable lesson,lesson,1
great villain and character arc,villain,1
great villain and character arc,character,1
such a lame climax,climax,0
journey to the magic forest just reminds an acid trip color irritate eye and constant action nerve,color,0
there are a lot of funny moment in this film that made me laugh a well a a few fun dancemusic scene in the film,music,1
i think this film show a growth in dreamworks both visually it left me sincerely surprised a in maturity of the plot a dark story for the whole family with an intelligent humor at the level of their classic gem i hope this is the new direction for dreamworks,plot,1
i think this film show a growth in dreamworks both visually it left me sincerely surprised a in maturity of the plot a dark story for the whole family with an intelligent humor at the level of their classic gem i hope this is the new direction for dreamworks,story,1
i think this film show a growth in dreamworks both visually it left me sincerely surprised a in maturity of the plot a dark story for the whole family with an intelligent humor at the level of their classic gem i hope this is the new direction for dreamworks,humor,1
even pus relationship with the side character is unchallenging,character,0
there a lot of them and you would think the cast would be too bloated but somehow it never feel that way and we get enough story from everyone to feel something for them,cast,1
there a lot of them and you would think the cast would be too bloated but somehow it never feel that way and we get enough story from everyone to feel something for them,story,1
it work on so many level a a highspeed comedy all the joke land but a a story about mortality and the meaning of life this film is oddly compelling and mature,comedy,0
it work on so many level a a highspeed comedy all the joke land but a a story about mortality and the meaning of life this film is oddly compelling and mature,joke,1
it work on so many level a a highspeed comedy all the joke land but a a story about mortality and the meaning of life this film is oddly compelling and mature,story,1
7 is recommended because it little scary moment for younger a child and a more mature storytelling than the previous film,storytelling,1
7 is recommended because it little scary moment for younger a child and a more mature storytelling than the previous film,scary moment,1
the art style is beautiful and the cool shading mix with such warm saturated hue made me just mesmerized i love how theyre going for a more paintlike art style a,style,1
the animation is very good it a mix of 2d and 3d,animation,1
it interesting how dark it get in these scene with pus who ha never been afraid of death get scared and ha a wakeup call,scene,0
the story is superior to previous dreamworks movie and is even superior to the shreck movie,story,1
my only complaint is the somewhat forced sequel hook at end but it seems that every movie nowadays must be some part of cinematic universe where nothing ever end,sequel,0
however the story may have taken a repetitive path and adventure but i think it ha done it mission correctly and is worth watching for one and a half hour,story,1
it wa so refreshing to see a modern film with a younger target audice not shy away from certain joke or theme,joke,1
it wa so refreshing to see a modern film with a younger target audice not shy away from certain joke or theme,theme,1
the animation style of the action scene harkens to some of the newer anime and video game cut scene with a little spiderman across the multiverse thrown in,style,0
the animation style of the action scene harkens to some of the newer anime and video game cut scene with a little spiderman across the multiverse thrown in,action scene,0
there are quite a few interesting and neat message here,message,1
all the character are so cool especially death,character,1
do i even have to talk about the main cast,main cast,0
just stick with animation wa very annoying and ugly too watch,animation,0
the use of visual symmetry and dynamic such a all the character at different point of the star made it all the more satisfying,visual,1
overall dreamworks have absolutely outdone themselves and pus very much is now our favourite feerles herothat wa very cheesy i am so sorry,hero,1
i really wish he had more than 7 minute of screen time because he is now my current favorite villain from dreamworks,villain,1
the villain are big jack horner goldilocks and the three bear and a wolf,villain,0
the animation is the highlight even though the style they use is just ripped off from a much better movie spiderman into the spiderverse,animation,1
the first thing i noticed wa how they had changed the animation,animation,0
the flow doesnt seem forced and it just smooth sailing every character ha sense for being there even some you dont expect,character,1
this is a very fun and yet much needed sequel to the first film,sequel,1
there were a trove of disney character reference youll have fun identifying from mary poppins alice in wonderland and jiminy cricket,character,1
the animation also wa stellar and beautiful,animation,1
the animation take a page out of spiderverse and run with it to make it own style,animation,1
i dont really feel that here they tried with the theme and the deeper storyline but it never actually worked in my eye,theme,0
i dont really feel that here they tried with the theme and the deeper storyline but it never actually worked in my eye,storyline,0
the action sequence are thrilling and exciting and the musical score is simply fantastic,action sequence,1
the action sequence are thrilling and exciting and the musical score is simply fantastic,musical score,1
but he is still a gimmick because there is one thing that make villain like him truly great their plan succeeds,villain,1
i wa sold a soon a the first song started playing a soon a pus lift his head for that introductory wink a if knowing something my mom and i didnt,song,1
but the way it executed the way each character change well most of them at least on this journey and how imaginative and creative the setup and environment are make it feel fresh and it really leaf an impact on you,character,1
but the way it executed the way each character change well most of them at least on this journey and how imaginative and creative the setup and environment are make it feel fresh and it really leaf an impact on you,environment,1
previously pus in boot wa so beautifully made with plot and joke now even his joke are not really there and his looking eye are not so cute anymore because he wa made in another dimension,joke,0
the premise wa interesting the animation actually wa pretty good the stylized animation actually worked out pretty well especially for the action sequence full of new character that were funny and cool and had some important life lesson for everyone to remember and use in their everyday life,premise,1
the premise wa interesting the animation actually wa pretty good the stylized animation actually worked out pretty well especially for the action sequence full of new character that were funny and cool and had some important life lesson for everyone to remember and use in their everyday life,animation,1
the premise wa interesting the animation actually wa pretty good the stylized animation actually worked out pretty well especially for the action sequence full of new character that were funny and cool and had some important life lesson for everyone to remember and use in their everyday life,animation,1
the premise wa interesting the animation actually wa pretty good the stylized animation actually worked out pretty well especially for the action sequence full of new character that were funny and cool and had some important life lesson for everyone to remember and use in their everyday life,action sequence,1
the premise wa interesting the animation actually wa pretty good the stylized animation actually worked out pretty well especially for the action sequence full of new character that were funny and cool and had some important life lesson for everyone to remember and use in their everyday life,character,1
the premise wa interesting the animation actually wa pretty good the stylized animation actually worked out pretty well especially for the action sequence full of new character that were funny and cool and had some important life lesson for everyone to remember and use in their everyday life,life lesson,1
the action sequence in the movie were great,action sequence,1
they all had different personality strength and weakness,personality,0
they all had different personality strength and weakness,strength,0
they all had different personality strength and weakness,weakness,0
with topic a death depression etc it really is a dreamworks writing through and through,topic,1
now for the theme they were definitely important one that i believe we all should consider in our daily life,theme,1
salma hayek pinault and florence pugh are terrific a well a are the whole cast,cast,1
i love the new graphic and color there better than the old one this is the best movie for this year i love this movie so much it brings my childhood back and i really love pus in boot so much,graphic,1
i love the new graphic and color there better than the old one this is the best movie for this year i love this movie so much it brings my childhood back and i really love pus in boot so much,color,1
lot of political message or some social commentary and such,message,0
great character development and such a well told story,character,1
great character development and such a well told story,story,1
i also love jack horner which wa a perfect villain,villain,1
without giving too much away pus learns valuable lesson and the film itself contains a good overall moral message,lesson,1
without giving too much away pus learns valuable lesson and the film itself contains a good overall moral message,moral message,1
it a story about a cat who is coming to term with his mortality,story,0
if this is going to be the future of animation then im done with it,animation,0
i am really happy i got to watch it in theater and how inspiring the message of appreciating life and your loved one is,message,1
the character themselves are completely different and it is impossible to say unequivocally who is good and who is bad,character,0
not to mention the plot is super fun and the character are so fun to watch,plot,1
not to mention the plot is super fun and the character are so fun to watch,character,1
5d animation,animation,0
pus in boot 2 is a film that ha been a huge success both with critic and with the audience and the film is good with great voiceovers and cartoonish animation that i like a lot charismatic character and great subplots but if if it werent for the bold addition of the wolf which in the feature work a a metaphorical representation of death a representation that actually work very well the film would be more of a good common animation like it predecessor this style of language add a plus without taking away the fun and entertainment for the kid i dont leave the cinema impressed but i liked what i saw and mainly it entertained me if youre looking for super animation deep well dubbed fun and with impressive feature go see guilhermo del toros pinocchio because pus in boot 2 is not that movie,voiceovers,1
pus in boot 2 is a film that ha been a huge success both with critic and with the audience and the film is good with great voiceovers and cartoonish animation that i like a lot charismatic character and great subplots but if if it werent for the bold addition of the wolf which in the feature work a a metaphorical representation of death a representation that actually work very well the film would be more of a good common animation like it predecessor this style of language add a plus without taking away the fun and entertainment for the kid i dont leave the cinema impressed but i liked what i saw and mainly it entertained me if youre looking for super animation deep well dubbed fun and with impressive feature go see guilhermo del toros pinocchio because pus in boot 2 is not that movie,animation,1
pus in boot 2 is a film that ha been a huge success both with critic and with the audience and the film is good with great voiceovers and cartoonish animation that i like a lot charismatic character and great subplots but if if it werent for the bold addition of the wolf which in the feature work a a metaphorical representation of death a representation that actually work very well the film would be more of a good common animation like it predecessor this style of language add a plus without taking away the fun and entertainment for the kid i dont leave the cinema impressed but i liked what i saw and mainly it entertained me if youre looking for super animation deep well dubbed fun and with impressive feature go see guilhermo del toros pinocchio because pus in boot 2 is not that movie,character,1
pus in boot 2 is a film that ha been a huge success both with critic and with the audience and the film is good with great voiceovers and cartoonish animation that i like a lot charismatic character and great subplots but if if it werent for the bold addition of the wolf which in the feature work a a metaphorical representation of death a representation that actually work very well the film would be more of a good common animation like it predecessor this style of language add a plus without taking away the fun and entertainment for the kid i dont leave the cinema impressed but i liked what i saw and mainly it entertained me if youre looking for super animation deep well dubbed fun and with impressive feature go see guilhermo del toros pinocchio because pus in boot 2 is not that movie,subplots,1
pus in boot 2 is a film that ha been a huge success both with critic and with the audience and the film is good with great voiceovers and cartoonish animation that i like a lot charismatic character and great subplots but if if it werent for the bold addition of the wolf which in the feature work a a metaphorical representation of death a representation that actually work very well the film would be more of a good common animation like it predecessor this style of language add a plus without taking away the fun and entertainment for the kid i dont leave the cinema impressed but i liked what i saw and mainly it entertained me if youre looking for super animation deep well dubbed fun and with impressive feature go see guilhermo del toros pinocchio because pus in boot 2 is not that movie,representation,1
pus in boot 2 is a film that ha been a huge success both with critic and with the audience and the film is good with great voiceovers and cartoonish animation that i like a lot charismatic character and great subplots but if if it werent for the bold addition of the wolf which in the feature work a a metaphorical representation of death a representation that actually work very well the film would be more of a good common animation like it predecessor this style of language add a plus without taking away the fun and entertainment for the kid i dont leave the cinema impressed but i liked what i saw and mainly it entertained me if youre looking for super animation deep well dubbed fun and with impressive feature go see guilhermo del toros pinocchio because pus in boot 2 is not that movie,animation,1
pus in boot 2 is a film that ha been a huge success both with critic and with the audience and the film is good with great voiceovers and cartoonish animation that i like a lot charismatic character and great subplots but if if it werent for the bold addition of the wolf which in the feature work a a metaphorical representation of death a representation that actually work very well the film would be more of a good common animation like it predecessor this style of language add a plus without taking away the fun and entertainment for the kid i dont leave the cinema impressed but i liked what i saw and mainly it entertained me if youre looking for super animation deep well dubbed fun and with impressive feature go see guilhermo del toros pinocchio because pus in boot 2 is not that movie,style of language,1
im almost embarrassed to be writing this review with the same vocabulary and conviction a a damn college essay but knowing that good animation and storytelling is still thriving is really all i care about,animation,1
im almost embarrassed to be writing this review with the same vocabulary and conviction a a damn college essay but knowing that good animation and storytelling is still thriving is really all i care about,storytelling,1
the animation along with the humor wa the opposite of kiddy and cutesy because thats what made it a compelling subversion of fairytale medium and all it convention,animation,1
the animation along with the humor wa the opposite of kiddy and cutesy because thats what made it a compelling subversion of fairytale medium and all it convention,humor,1
the movie ha both character pus and softpaw,character,0
starting with the storyline where pus is facing a crisis where he down to his last life wa genius pus is a larger than life character that is humbled by is mortality which we can all relate to,storyline,0
starting with the storyline where pus is facing a crisis where he down to his last life wa genius pus is a larger than life character that is humbled by is mortality which we can all relate to,character,1
a complete and unique story,story,1
while disney ha definitely brought in some stylization primarily with luca and then turning red the story writing is still lacking,story,0
there were no cringeworthy moment that you would normally find in today animated film,moment,1
kitty actually felt like her own character with her own choice and the villain is a huge improvement over humpty dumpty,character,1
kitty actually felt like her own character with her own choice and the villain is a huge improvement over humpty dumpty,villain,1
this film explores the fear of death insecurity anxiety companionship and it doe not hold back against any of these theme,theme,1
the background looked so vibrant and the character really popped out a well i have to say this is the best animation i have seen in a while,background,1
the background looked so vibrant and the character really popped out a well i have to say this is the best animation i have seen in a while,character,1
the story is very imaginative thanks to it being in a fairytale world,story,1
the acting is also amazing,acting,1
chaotic and haphazard use is funny but chaos doe lead to sloppy action scene,action scene,0
it evolves the cat tale and put the engaging atmosphere in with plenty of adorable and heartfelt character to play in,tale,1
it evolves the cat tale and put the engaging atmosphere in with plenty of adorable and heartfelt character to play in,engaging atmosphere,1
it evolves the cat tale and put the engaging atmosphere in with plenty of adorable and heartfelt character to play in,character,1
the animation flow smoothly the action sequence are impressive and booming from the very start of the movie,animation,1
the animation flow smoothly the action sequence are impressive and booming from the very start of the movie,action sequence,1
i believe a poster called this character the big bad wolf but he isnt that even if he technically based on him he actually death,character,0
i know by heart the story of pus in boot because a a child i wa fortunate to have an illustrated book of that immortal tale by charles perrault,story,1
and probably for everyone else out there who also love heartwarming lovestories,lovestories,1
the story is engaging blending humor adventure and heart in just the right amount,story,1
the story is engaging blending humor adventure and heart in just the right amount,humor,1
the story is engaging blending humor adventure and heart in just the right amount,adventure,1
the story is engaging blending humor adventure and heart in just the right amount,heart,1
and yet pus main conflict lie at the core of u all and is so universally recognisable death eventually come for u all,main conflict,1
the best villain ive seen in a long time,villain,1
this movie also had me so emotional no spoiler but it the way the creator handle their character with such sincerity and heart,character,1
but the supporting cast is equally fantastic with memorable performance from every single member of the cast,cast,1
but the supporting cast is equally fantastic with memorable performance from every single member of the cast,cast,1
it is worth all the praise it ha gotten from audience with it animation character spectacle and pretty hefty theme and emotion,animation,1
it is worth all the praise it ha gotten from audience with it animation character spectacle and pretty hefty theme and emotion,character,1
it is worth all the praise it ha gotten from audience with it animation character spectacle and pretty hefty theme and emotion,spectacle,1
it is worth all the praise it ha gotten from audience with it animation character spectacle and pretty hefty theme and emotion,theme,1
it is worth all the praise it ha gotten from audience with it animation character spectacle and pretty hefty theme and emotion,emotion,1
i really dont want to get into the story to avoid spoiler because the movie wa a lot of fun and it best to go into it fresh,story,0
for starter all the voiceovers were outstanding and all of the character had something to offer than just their presence in the story,voiceovers,1
for starter all the voiceovers were outstanding and all of the character had something to offer than just their presence in the story,character,1
for starter all the voiceovers were outstanding and all of the character had something to offer than just their presence in the story,story,0
from a pure animation quality standpoint i see this a the potential candidate for winning,animation,1
amazing graphic,graphic,1
that being said i really enjoyed every single one of the villain and none of them made the show annoying to watch,villain,1
i loved the wolf design the most he wa such a good character and i looked forward to seeing him whenever he showed up,design,1
i loved the wolf design the most he wa such a good character and i looked forward to seeing him whenever he showed up,character,1
i didnt expect such a cool movie and sequel,sequel,1
the story want to give u important lesson about life and entertain with action drama and comedy at the same time,story,1
the story want to give u important lesson about life and entertain with action drama and comedy at the same time,lesson,1
the story want to give u important lesson about life and entertain with action drama and comedy at the same time,action,1
the story want to give u important lesson about life and entertain with action drama and comedy at the same time,drama,1
the story want to give u important lesson about life and entertain with action drama and comedy at the same time,comedy,1
with more and more blockbuster surpassing the 2hour mark and even venturing into the threehour territory it nice to return to animation that keep doesnt bloat and drag under the weight of sequel and spinoffs,animation,1
with more and more blockbuster surpassing the 2hour mark and even venturing into the threehour territory it nice to return to animation that keep doesnt bloat and drag under the weight of sequel and spinoffs,sequel,1
then there the character all the main cast are wonderfully voiced especially the wolf and their story are all told so well and developed,character,1
then there the character all the main cast are wonderfully voiced especially the wolf and their story are all told so well and developed,cast,1
then there the character all the main cast are wonderfully voiced especially the wolf and their story are all told so well and developed,story,1
spiderverse swung in style so pus in boot could land purrfectly on it foot,style,1
it ditch the 3d animation seen in it predecessor and go one step further with a mix of 2d and 3d animation making it feel like an upgrade and update to the shrek franchise,animation,1
it ditch the 3d animation seen in it predecessor and go one step further with a mix of 2d and 3d animation making it feel like an upgrade and update to the shrek franchise,animation,1
overall i think it added depth to dreamworks filmography and wa a great follow up to the first pus in boot movie which wa such a fantastic film,filmography,1
it go above and beyond it contemporary and ascends into another stratosphere of excellence where it sits among the pantheon of great film not just of animation,animation,1
they could have used someone like xibalba the mayan god of death that to me would have been better and they could have taken design inspiration from tzekelkan and his acolyte from the road to el dorado,design,0
loved the humor these people pull stuff that really set it apart from other animation studio for some reason i thought there would be a lot of singing but thankfully thats not the case,humor,1
performance are nothing short of magnificent these are animated character that people will remember decade later,character,0
510 just because the plot wasnt that original,plot,0
although one character who is a wolf could be scary for very young child so i would be mindful of that,character,0
the fight sin this movie where great,fight sin,1
and then there is perrito who many probably thought wa going to be an annoyance but he is by far the heart of this movie and he is involved in probably the most touching scene in the movie,scene,1
the humour is back to it old shrek and is incredibly funny and make good meta humour the theme are quite mature and handled with great emotion and tension the score by heitor pereira is simply his best and the song are wonderful,humour,1
the humour is back to it old shrek and is incredibly funny and make good meta humour the theme are quite mature and handled with great emotion and tension the score by heitor pereira is simply his best and the song are wonderful,humour,1
the humour is back to it old shrek and is incredibly funny and make good meta humour the theme are quite mature and handled with great emotion and tension the score by heitor pereira is simply his best and the song are wonderful,theme,1
the humour is back to it old shrek and is incredibly funny and make good meta humour the theme are quite mature and handled with great emotion and tension the score by heitor pereira is simply his best and the song are wonderful,emotion,1
the humour is back to it old shrek and is incredibly funny and make good meta humour the theme are quite mature and handled with great emotion and tension the score by heitor pereira is simply his best and the song are wonderful,song,1
joel crawford direction is amazing the action sequence are so inventive and fun to watch and the lower frame rate make them even better,action sequence,1
the villian doe an amazing job of commanding your attention everytime he show up,villian,1
a for relatable predicament no were not down to our last life and searching for a wish start while being chased by goldilocks 3 bear and jack horner but the underlying theme of there no place like home trustbetrayal dilemma and family and love are what you make of them are thing that we all encounter,theme,1
the build up of all of the character in this movie is wonderful,character,1
pus ha understandable motif and a great arc in the story and there are lot of great action sequence that keep your attention and move the story along at a good pace,arc,1
pus ha understandable motif and a great arc in the story and there are lot of great action sequence that keep your attention and move the story along at a good pace,action sequence,1
pus ha understandable motif and a great arc in the story and there are lot of great action sequence that keep your attention and move the story along at a good pace,story,1
pus n boot the last wish is just a fantastic film full of heart soul depth and is surprisingly dark and more mature in tone than i initially thought it would be,tone,1
so i wa quite shocked that it wa getting a sequel further shocked when so many people saying how good it is so i took my four year old and my god this is disney pixar level of good,sequel,1
the chihuahua side character wa an extremely annoying comic relief every line of dialogue from him made me cringe he feel almost like a paw patrol character and take away from the darker direction the story seemed originally set to go 5,character,0
the chihuahua side character wa an extremely annoying comic relief every line of dialogue from him made me cringe he feel almost like a paw patrol character and take away from the darker direction the story seemed originally set to go 5,character,0
the chihuahua side character wa an extremely annoying comic relief every line of dialogue from him made me cringe he feel almost like a paw patrol character and take away from the darker direction the story seemed originally set to go 5,story,0
good character development that push the story along and give u depth in the secondary party,character,1
good character development that push the story along and give u depth in the secondary party,story,1
voice artist also nailed it when it come to dubbing especially antonio banderas selma hayek and wagner moura who made their character wonderful,voice artist,1
voice artist also nailed it when it come to dubbing especially antonio banderas selma hayek and wagner moura who made their character wonderful,character,1
best protagonist in movie history better than daniel radcliffe a harry potter and megamind,protagonist,1
pus in boot return for a sequel with the hugest bang possible,sequel,1
now to the character,character,0
the character were also pretty cool a well,character,1
he ha to be the best animated villain to date without a shadow of a doubt,villain,1
furthermore this movie ha a consistent theme and message interwoven in it plot one that is inspirational and often lacking in most contemporary film today,theme,1
furthermore this movie ha a consistent theme and message interwoven in it plot one that is inspirational and often lacking in most contemporary film today,message,1
furthermore this movie ha a consistent theme and message interwoven in it plot one that is inspirational and often lacking in most contemporary film today,plot,1
it make the entire story feel less real and consequential,story,0
it so amazing that an animation for kid doesnt hide the darkness of compelling storytelling while being funny,animation,1
it so amazing that an animation for kid doesnt hide the darkness of compelling storytelling while being funny,storytelling,1
there is a very evident difference that can be noted in the style of it animation,animation,0
the animation wa such a treat for my eye and wa gorgeous to watch and felt genuinely inspired,animation,1
each character is unique in it own way charming attractive whether it is a villain or a hero,character,1
each character is unique in it own way charming attractive whether it is a villain or a hero,villain,1
each character is unique in it own way charming attractive whether it is a villain or a hero,hero,1
also keep in mind that within the last two year dreamworks made four sequel troll world tour the croods a new age spirit untamed and the bos baby family business,sequel,0
they took out thing that made the first one brilliant and everything move at a pace of tremendous pace which mean you dont get to know the character and the speed is uncomfortable to watch,character,0
they took out thing that made the first one brilliant and everything move at a pace of tremendous pace which mean you dont get to know the character and the speed is uncomfortable to watch,speed,0
they took out thing that made the first one brilliant and everything move at a pace of tremendous pace which mean you dont get to know the character and the speed is uncomfortable to watch,pace,0
the fight with the giant is incredible the whole movie look wonderful and the fight with death must be the best fight scene ive ever seen in a movie,fight,1
the fight with the giant is incredible the whole movie look wonderful and the fight with death must be the best fight scene ive ever seen in a movie,fight,1
the fight with the giant is incredible the whole movie look wonderful and the fight with death must be the best fight scene ive ever seen in a movie,fight scene,1
the background music of the story wa also fitting it added an extra layer for the viewer and did not distract them from the story,music,1
the background music of the story wa also fitting it added an extra layer for the viewer and did not distract them from the story,story,1
the background music of the story wa also fitting it added an extra layer for the viewer and did not distract them from the story,story,1
