sentence,aspect,Predicted_Sentiment
i didnt really care about the character enough and maybe because too much wa forced in,character,negative
great storyline and animation,storyline,positive
great storyline and animation,animation,positive
it also ha a good moral lesson for kid at the end,moral,positive
it also ha a good moral lesson for kid at the end,lesson,positive
this is especially noticeable in that one character who is clearly modelled after a certain redheaded disney princess isnt a bitchy shallow or malevolent a you might hope,character,negative
this movie wa above average but below being great from the pacing so in the end i think it deserves the title of being a little above an average movie,pacing,negative
it felt like there wa more that should have been added to clear up certain plot point im mainly looking at the overbearing grandmother queen but it never addressed again despite it being the whole driving point of why the gillmans are forced to live on land in the first place,plot,negative
i didnt even make it through this movie i tried watching it with my son and the adult humor wa so inappropriate and blatant that i turned it off,humor,negative
it could have been a good movie if the weird inappropriate bit were cut and they thought about the plot a bit more,plot,negative
the theme of this film is overcoming your fear and while it appreciatedrelatable among human of all age charlie kaufman completely dropped the ball on what couldve been a comfortproducing and fearrelieving adaptation for child who daily struggle with these very real anxiety,theme,negative
overall a colourful entertaining flick,flick,positive
very unique character design dark and the other entity,character,negative
very unique character design dark and the other entity,design,negative
including the third act to be a little rushed,act,negative
in pus in boot 2 for example im using it because is the last good movie dreamworks ha done you could see where the plot wa going but the character and joke made is really enjoyable,plot,negative
in pus in boot 2 for example im using it because is the last good movie dreamworks ha done you could see where the plot wa going but the character and joke made is really enjoyable,character,positive
in pus in boot 2 for example im using it because is the last good movie dreamworks ha done you could see where the plot wa going but the character and joke made is really enjoyable,joke,positive
the villain is a voice you will recognize,villain,positive
lacking the freshness of the first film and the emotional depth of the second kung fu panda 4 doe play it safe by taking a riskfree route to tell it story but still manages to deliver a fun amusing lighthearted delight,fresh,positive
lacking the freshness of the first film and the emotional depth of the second kung fu panda 4 doe play it safe by taking a riskfree route to tell it story but still manages to deliver a fun amusing lighthearted delight,emotional,positive
lacking the freshness of the first film and the emotional depth of the second kung fu panda 4 doe play it safe by taking a riskfree route to tell it story but still manages to deliver a fun amusing lighthearted delight,depth,positive
lacking the freshness of the first film and the emotional depth of the second kung fu panda 4 doe play it safe by taking a riskfree route to tell it story but still manages to deliver a fun amusing lighthearted delight,story,negative
and from most of the scene it have too many jump cut too many unnecessary shot made me feel it is so fast and hard to enjoy,scene,negative
the kung fu panda series shouldnt have been just about doing skadoosh there should have been a deeper story a a viewer i wa hoping to see something new there wa very little in the movie that i focused on in the last scene tai lung finally realizes that po wasnt the wrong choice and go back to the spirit realm but for such a character there shouldnt have been such an ending it wa very empty,story,negative
the kung fu panda series shouldnt have been just about doing skadoosh there should have been a deeper story a a viewer i wa hoping to see something new there wa very little in the movie that i focused on in the last scene tai lung finally realizes that po wasnt the wrong choice and go back to the spirit realm but for such a character there shouldnt have been such an ending it wa very empty,character,negative
the kung fu panda series shouldnt have been just about doing skadoosh there should have been a deeper story a a viewer i wa hoping to see something new there wa very little in the movie that i focused on in the last scene tai lung finally realizes that po wasnt the wrong choice and go back to the spirit realm but for such a character there shouldnt have been such an ending it wa very empty,ending,negative
with those weak and bad point i dont think this movie is really worth to watch you can pretend that the story ended in third one,story,negative
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,joke,negative
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,final,positive
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,battle,positive
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,message,positive
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,character,negative
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,development,positive
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,villain,negative
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,final,positive
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,battle,positive
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,soundtrack,positive
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,event,positive
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,joke,negative
guy look i know what you feel this movie ha a such of problem respect to the kung fu panda franchise but a a franchise movie i consider that is decent the joke about who is the dragon warrior is very bad and that shifu insist that po should leave the charge because it is supposed that po should decide his own when he going to be retired and that detail of dont put the furious 5 but know let say the positive thing because that bad thing doesnt annoy me it have an excellent final battle zhen actually wa kind of cool for me the movie ha some essence of franchise and have a great message good character development the villain for me is not bad but it could be better and if i have so many bad thing to say why i put a 9 because kung fu panda 4 is an entertaining movie that ha an epic final battle good soundtrack and some event that are great like how po father interact zhen counsins actually wher good for me there are many joke that are very good like the skadoosh that wa gold for me and yeah i like tai lung comeback and lord shen and kai i wa hoping something better im concious of kung fu panda 4 problem but if you give the film another oportunity you will see that this movie is actually great and very good and the profundization is great the bad thing dont annoy me because in the history i can say that fluid a his style and i will dont be rude for that is for that why im giving this film an 8,style,negative
though thing come together well kung fu panda 4 still feel unoriginal like everything about the story is taken from other film,story,negative
and the painterly animation style so well suit the storysource material,animation,positive
and the painterly animation style so well suit the storysource material,story,positive
the only complaint i have is the first 20 minute where it lack a bit of substance but other than that this story is a sight to behold,story,negative
this entry join a long line of novel animated film which start with what look like a simple premise and before you know it the story is resonating with people and place and circumstance we have known our entire collective life,story,negative
and finally huge credit must go to the composer of the score it is some of the most beautiful music accompanying a film i have ever heard and elevates all the scene beyond any animated film i can recall,music,positive
the main thing in the plot are the universal dynamic portion are not that visually stunning just mundane animation but the jungle island on is very cool,plot,positive
the main thing in the plot are the universal dynamic portion are not that visually stunning just mundane animation but the jungle island on is very cool,animation,positive
the wild robot is a story about nature technology and selfdiscovery adapted from peter brown book,story,positive
although this film plot is fairly straightforward what make it stand out considerably is it warm sincerity great animation and charming character,plot,positive
although this film plot is fairly straightforward what make it stand out considerably is it warm sincerity great animation and charming character,animation,positive
although this film plot is fairly straightforward what make it stand out considerably is it warm sincerity great animation and charming character,character,positive
the third act is also very preachy,act,negative
the art style from pus in boot the last wish ha been brought back and is still a dazzling now a it wa then,style,positive
but then the story started developing and it all fit so perfectly,story,positive
all the animation scene are on point with the story,animation,positive
all the animation scene are on point with the story,story,negative
but then i look at another animated movie and it look identical to 15 year ago so idkthe relationship between the character is great and the growth is visible during the movie like most film in the genre,character,positive
the voice cast including lupita nyongo and pedro pascal enhances the experience while the animation described a resembling a living watercolor add to it visual charm,voice,positive
the voice cast including lupita nyongo and pedro pascal enhances the experience while the animation described a resembling a living watercolor add to it visual charm,cast,positive
the voice cast including lupita nyongo and pedro pascal enhances the experience while the animation described a resembling a living watercolor add to it visual charm,animation,positive
the voice cast including lupita nyongo and pedro pascal enhances the experience while the animation described a resembling a living watercolor add to it visual charm,visual,positive
for those looking to bubblewrap their kid the predator and prey dynamic on a small island might be too much and there a brief bit of morbid humor with a baby possum that get eaten off screen,humor,positive
it will take you in an unique adventure until you cry waterfall,adventure,positive
but they did a nice job weaving the message in so we didnt need that,message,positive
filled with captivating animal character the story follows a kind robot journey of selfdiscovery,character,positive
filled with captivating animal character the story follows a kind robot journey of selfdiscovery,story,positive
the visual appearance of the natural world in the wild robot not to mention rozs presence within it is utterly breathtaking,visual,positive
the music wa terrific the visuals were awe inspiring and the movie had a starstudded cast but it is there where i believe there wa a problem,music,positive
the music wa terrific the visuals were awe inspiring and the movie had a starstudded cast but it is there where i believe there wa a problem,visuals,positive
the music wa terrific the visuals were awe inspiring and the movie had a starstudded cast but it is there where i believe there wa a problem,cast,positive
the story is captivating from the very beginning,story,negative
with laugh out loud moment incredibly tender scene and a beautiful score this is one of those animated movie that soar mile above anything else,scene,positive
with laugh out loud moment incredibly tender scene and a beautiful score this is one of those animated movie that soar mile above anything else,score,positive
the story follows the adventure of a robot named roz who is stranded on a remote island after a shipwreck,story,negative
not only is this one of the best animated film of the year but with how predictable the story is it still got me emotionally,story,positive
in a way this is the antidreamworks movieanimation 1010right from the start i could tell this film animation style wa similar to that of dreamworks earlier work like the bad guy,animation,positive
the character a well a the animation and the background wa so well done,character,positive
the character a well a the animation and the background wa so well done,animation,positive
the character a well a the animation and the background wa so well done,background,positive
the soundtrack wa excellent support which always reflects the event on screen,soundtrack,positive
i hope animation get out of this dark age,animation,negative
all and all though the movie is very good with fleshed out and mostly likable character my favorite wa the dad and good voice acting,character,positive
all and all though the movie is very good with fleshed out and mostly likable character my favorite wa the dad and good voice acting,voice,positive
all and all though the movie is very good with fleshed out and mostly likable character my favorite wa the dad and good voice acting,acting,positive
the movie is fast paced and the actor voice work had to be engaging for this movie to work and that is exactly what it wa a brilliant showcase in how voice work should be done in an animation,paced,positive
the movie is fast paced and the actor voice work had to be engaging for this movie to work and that is exactly what it wa a brilliant showcase in how voice work should be done in an animation,actor,positive
the movie is fast paced and the actor voice work had to be engaging for this movie to work and that is exactly what it wa a brilliant showcase in how voice work should be done in an animation,animation,positive
but the plot and character feel very cliche and boring with the main theme being a good message but poorly portrayed,plot,negative
but the plot and character feel very cliche and boring with the main theme being a good message but poorly portrayed,character,negative
but the plot and character feel very cliche and boring with the main theme being a good message but poorly portrayed,theme,negative
but the plot and character feel very cliche and boring with the main theme being a good message but poorly portrayed,message,negative
i did however live through the early 20 at about the same age of the main character,character,negative
i wa so mindblown i really wanted to give it a 5 but there are too many questionable decision thrown on top of a perfect plot,plot,negative
the theme of this movie are also handled fantastically,theme,positive
all in all my criticism are plain to see but i found the movie to be a fun ride of emotion that contained a heartwarming message and that i think everyone can relate to on some level,message,positive
a disney pixar film about a chinese canadian teenager turning into a big red panda and a beneficial use of chinese heritage in the main character family but also since i am an animation fan i like the animation style and how different it look compared to disney pixars other film,character,positive
a disney pixar film about a chinese canadian teenager turning into a big red panda and a beneficial use of chinese heritage in the main character family but also since i am an animation fan i like the animation style and how different it look compared to disney pixars other film,,positive
a disney pixar film about a chinese canadian teenager turning into a big red panda and a beneficial use of chinese heritage in the main character family but also since i am an animation fan i like the animation style and how different it look compared to disney pixars other film,s,positive
a disney pixar film about a chinese canadian teenager turning into a big red panda and a beneficial use of chinese heritage in the main character family but also since i am an animation fan i like the animation style and how different it look compared to disney pixars other film,animation,positive
a disney pixar film about a chinese canadian teenager turning into a big red panda and a beneficial use of chinese heritage in the main character family but also since i am an animation fan i like the animation style and how different it look compared to disney pixars other film,style,positive
the plot wa quite predictable and lacked that magic pixar usually brings instead going a bit disney princess,plot,negative
they bring with them message often moving that do not concern only our child but also adult,message,positive
editing 45 a mentioned previously the visuals of this movie really stood out a being different and i believe that is due to the inspiration the filmmaker took into account,visuals,positive
though his cooking scene in the beginning wa very amazing,scene,positive
in fact i enjoyed a scene where her dad find some silly recording her friend made and tell her that she shouldnt be ashamed of who she truly is,scene,positive
the story of a young girl hitting puberty represented by her turning into a giant red panda is a bit,story,negative
there is no clear villain or even dive into the usual pixar imagination instead focusing heavy on the relatablereallife quirk to examine and relish while capitalizing on the hot trend,villain,negative
bizarre story and terrible message passed to child,story,negative
bizarre story and terrible message passed to child,message,negative
very disappointed that this wasnt a story for all child watching,story,negative
it wa a fast paced storyline though most of the joke in the dialogue didnt really find much footing,storyline,negative
it wa a fast paced storyline though most of the joke in the dialogue didnt really find much footing,joke,negative
he want to live up to his standard of being a hero,hero,negative
i know that pixar ha to have that so their movie do serve a greater purpose in childrens life and i wholeheartedly agree with a simple message like this movie ha,message,positive
it story feel a bit derivative of other work at time which is a missed opportunity for sure because there is so much unique worldbuilding in this film that could have been accomplished,story,negative
ala time dilation occurs for buzz every time he fly and a the year go by the colony expands and his friend all die introducing u to new character,character,negative
this scene stealer brings the joy humor and relatabilitylikeability thats largely missing from the film,scene,positive
this scene stealer brings the joy humor and relatabilitylikeability thats largely missing from the film,humor,positive
if i wa reviewing the animation it would be a 10 all the way,animation,positive
incredible animation good plot and a little lax in term of the history of the character it attempt to create,animation,positive
incredible animation good plot and a little lax in term of the history of the character it attempt to create,plot,positive
incredible animation good plot and a little lax in term of the history of the character it attempt to create,character,positive
it is exciting to see the character with new animation but the rest of his trait are ultimately disappointing,character,positive
it is exciting to see the character with new animation but the rest of his trait are ultimately disappointing,animation,positive
i will say the film doe lack in humor or it very few in between which could have been better,humor,negative
it lack a certain amount of heart but evans is an inspired choice to voice the main character not surprisingly the animation is topoftheline and there are some joke that dedicated studio fan will easily pick up on so sitting through this is not a totally unenjoyable experience it just that the finished product is hardly compelling,heart,positive
it lack a certain amount of heart but evans is an inspired choice to voice the main character not surprisingly the animation is topoftheline and there are some joke that dedicated studio fan will easily pick up on so sitting through this is not a totally unenjoyable experience it just that the finished product is hardly compelling,character,positive
it lack a certain amount of heart but evans is an inspired choice to voice the main character not surprisingly the animation is topoftheline and there are some joke that dedicated studio fan will easily pick up on so sitting through this is not a totally unenjoyable experience it just that the finished product is hardly compelling,animation,positive
it lack a certain amount of heart but evans is an inspired choice to voice the main character not surprisingly the animation is topoftheline and there are some joke that dedicated studio fan will easily pick up on so sitting through this is not a totally unenjoyable experience it just that the finished product is hardly compelling,joke,positive
did it go off the deep end to try a shocking twist yes,twist,negative
